1,0,1050
2,0,840
3,0,840
4,0,840
5,0,1050
6,0,1050
7,0,840
8,0,840
9,0,840
10,0,1050
11,0,1050
12,0,840
13,0,840
14,0,840
15,0,1050
16,0,1050
17,0,840
18,0,840
19,0,840
20,0,1050
21,0,1050
22,0,840
23,0,840
24,0,840
25,0,1050
26,1,1050
27,1,840
28,0,840
29,0,840
30,1,1050
31,0,1050
32,0,840
33,0,840
34,0,840
35,1,1050
36,0,1050
37,0,840
38,0,840
39,0,840
40,0,1050
41,0,1050
42,0,840
43,0,840
44,0,840
45,0,1050
46,0,1050
47,0,840
48,0,840
49,0,840
50,0,1050
51,0,735
52,0,700
53,0,700
54,0,700
55,0,735
